weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,16704,0.23298262628414104,0.20770162004122916,0.4205029838022166,0.5213558037406096,53.735632183908045,0.21510579481042416,0.017876831473716905
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,16704,0.11607996825691311,0.07795050477977311,0.25879070311016317,0.2886642524034077,14.59530651340996,0.08799947412507503,0.02808049413183808
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,16704,0.11905840172239787,0.0747805078567329,0.25525641207211547,0.2886642524034077,15.882423371647509,0.09120097311702588,0.027857428605372
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,16704,0.10608066005942136,0.07490846116063295,0.2030697984391626,0.27478357286025,11.566091954022989,0.0772110605092394,0.028869599550181948
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,core_mid,Core middle,middle,core,Core,16704,0.12422250332359977,0.07703815814251941,0.27478357286024996,0.305943113395309,19.82758620689655,0.09689911967229778,0.027323383651301995
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,16704,0.21702667014181434,0.1897434317750309,0.4204786107581534,0.5213558037406096,46.90493295019157,0.1976440034652526,0.019382666676561706
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,16704,0.12061044008843488,0.07795050477977311,0.25947652535280197,0.305943113395309,18.12140804597701,0.09349026211426259,0.02712017797417229
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,16704,0.139246983401411,0.07703815814251942,0.305943113395309,0.36244611176430186,25.01197318007663,0.11345430380288166,0.025792679598529336
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,16704,0.11370754314209179,0.07490846116063295,0.25947652535280197,0.2975656900728436,15.116139846743296,0.08609810540539856,0.027609437736693238
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,core_top,Core top,top,core,Core,16704,0.11077461278907029,0.07396208795276085,0.25947652535280186,0.2921985434414554,14.70905172413793,0.08179466648468685,0.028979946304383428
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_top_zn_1,Top P1,top,P1,P1 south,16704,0.19128648214175145,0.12454069812289364,0.3842313427997147,0.4288363171355499,38.64942528735632,0.16981439586016833,0.021472086281583147
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,perimeter_top_zn_2,Top P2,top,P2,P2 east,16704,0.11874565232608857,0.07795050477977311,0.25947652535280197,0.305943113395309,16.81633141762452,0.09134297782282093,0.027402674503267627
