weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
guangzhou_ssp585_near_2030s_typical_2039,Guangzhou,ssp585,near_2030s,typical,2039,0.2964073213450418,0.005878708730654364,0.7483356078220866,0.02317646725330741,0.19568612832127757,0.5991020647033644,0.38333333333333325,0.022068925606641122
houston_ssp245_baseline_2020s_heatwave_extreme_2026,Houston,ssp245,baseline_2020s,heatwave_extreme,2026,0.33389369146702375,0.006837113604297926,0.7690568876797296,0.025944992160561512,0.20405622274250376,0.5453241534116398,0.404,0.02183037994891443
houston_ssp245_baseline_2020s_hot_2026,Houston,ssp245,baseline_2020s,hot,2026,0.33389369146702375,0.006837113604297926,0.7690568876797296,0.025944992160561512,0.20405622274250376,0.5453241534116398,0.404,0.02183037994891443
houston_ssp245_baseline_2020s_typical_2027,Houston,ssp245,baseline_2020s,typical,2027,0.3097678521539333,0.005525024244596652,0.733691301954353,0.023369379934511283,0.1568357159295412,0.44235947215856114,0.3819999999999999,0.020222541507024263
houston_ssp245_late_2080s_heatwave_extreme_2081,Houston,ssp245,late_2080s,heatwave_extreme,2081,0.33389369146702375,0.007597551115659625,0.797772239204881,0.027103988906992865,0.1522041520902663,0.4524657618919579,0.3880000000000001,0.02167161558109834
houston_ssp245_late_2080s_hot_2085,Houston,ssp245,late_2080s,hot,2085,0.33389369146702375,0.007639096794635213,0.8081293949252737,0.027781011993972874,0.17310186379054024,0.5242427191388344,0.43666666666666654,0.02203635855683269
houston_ssp245_late_2080s_typical_2086,Houston,ssp245,late_2080s,typical,2086,0.33846073567601165,0.006673865138266481,0.7384167973835032,0.025548985180934087,0.14914116801965877,0.46062524087398293,0.36333333333333334,0.021279134738186465
houston_ssp245_mid_2050s_heatwave_extreme_2058,Houston,ssp245,mid_2050s,heatwave_extreme,2058,0.31449367669905537,0.006631725536751773,0.8355594003337791,0.02512487266774488,0.16112265962375338,0.4951852475342693,0.39133333333333375,0.02066822318007663
houston_ssp245_mid_2050s_hot_2056,Houston,ssp245,mid_2050s,hot,2056,0.3261531592751842,0.006662744716697414,0.7163175366164447,0.026052082324524623,0.18588923131062116,0.4462307131000711,0.3646666666666665,0.02194476372924649
houston_ssp245_mid_2050s_typical_2052,Houston,ssp245,mid_2050s,typical,2052,0.3145180497431186,0.006620145591448634,0.7139836330344929,0.025266711170895163,0.21421332346247346,0.5377523745100383,0.40800000000000014,0.020367736270753514
