group_scope,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
global,broad_tail,0.37,equal_zone_mean,2405376,28375,26535,23254,31656,5121,3281,8402,1.179649252341422,1.1031539351851851,-0.0764953171562367,0.3493008993188591,0.7345842810209755
global,broad_tail,0.37,zone_p90,2405376,228920,225445,202239,252126,26681,23206,49887,9.51701521924223,9.372547161025969,-0.14446805821626224,2.0739792863984676,0.8021346469622331
global,broad_tail,0.38,any_zone,2405376,298313,295159,264777,328695,33536,30382,63918,12.401928014580673,12.270805063324818,-0.13112295125585355,2.657297653256705,0.8055400903573221
global,broad_tail,0.38,area_weighted_mean,2405376,15227,13906,11970,17163,3257,1936,5193,0.6330403230097914,0.5781216741166454,-0.05491864889314602,0.21589140325670497,0.6974305191400105
global,broad_tail,0.38,equal_zone_mean,2405376,22636,21032,18452,25216,4184,2580,6764,0.9410586951894423,0.8743747339293317,-0.0666839612601107,0.28120343763303535,0.731757614213198
global,broad_tail,0.38,zone_p90,2405376,170263,167686,147194,190755,23069,20492,43561,7.078435970093657,6.971300952532992,-0.10713501756066413,1.810985060131971,0.7716390133941443
global,broad_tail,0.39,any_zone,2405376,252254,249422,218625,283051,33629,30797,64426,10.487092246700724,10.369355975947212,-0.11773627075351213,2.6784170125585356,0.7723873082942649
global,broad_tail,0.39,area_weighted_mean,2405376,11489,10349,8940,12898,2549,1409,3958,0.47763842326521927,0.4302445854618987,-0.047393837803320564,0.1645480789697744,0.693130717940766
global,broad_tail,0.39,equal_zone_mean,2405376,18406,17021,14903,20524,3503,2118,5621,0.7652026128139634,0.7076232572371222,-0.05757935557684121,0.23368487920391653,0.7261255115961801
global,broad_tail,0.39,zone_p90,2405376,145826,143461,125103,164184,20723,18358,39081,6.0625033258833545,5.964181899212431,-0.0983214266709238,1.624735592273308,0.7619682794913024
global,broad_tail,0.4,any_zone,2405376,244604,241883,211602,274885,33002,30281,63283,10.169054650915283,10.055933043316305,-0.11312160759897828,2.6308984541294165,0.7697837277406916
global,broad_tail,0.4,area_weighted_mean,2405376,8791,7840,6819,9812,1972,1021,2993,0.3654730071306939,0.3259365687526607,-0.0395364383780332,0.12442961100468285,0.6949653485527925
global,broad_tail,0.4,equal_zone_mean,2405376,15052,13815,12104,16763,2948,1711,4659,0.6257649531715623,0.5743384818007663,-0.05142647137079608,0.19369113186462325,0.7220664558849847
global,broad_tail,0.4,zone_p90,2405376,139281,136980,118758,157503,20523,18222,38745,5.790404493933589,5.69474377394636,-0.09566071998722861,1.610766882183908,0.7540046856250358
