group_scope,model,event,threshold,city,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct,time_slice,scenario,severity
city,no_pmv_ordinal,broad_tail,0.1,Ahmedabad,400896,6013440,128303.97732523247,2092852,208054,184825,257311,302377,94323,49286,51.897250159642404,46.10297932630907,64.18397788952745,75.42529733397191,23.5280471743295,12.293961526181354,32.00430468880519,34.80290815240528,,,
city,no_pmv_ordinal,broad_tail,0.1,Beijing,400896,6013440,96653.44461371403,1235379,80528,103398,190932,245572,165044,110483,20.08700510855683,25.79172653256705,47.62631704980843,61.25578703703704,41.1687819284802,27.559017800127716,24.109356195550475,20.543632263729247,,,
city,no_pmv_ordinal,broad_tail,0.1,Guangzhou,400896,6013440,97980.62274220774,1544255,126480,113474,177188,216712,90232,50709,31.549329501915707,28.305096583652617,44.19799648786717,54.05691251596424,22.50758301404853,12.648916427203066,24.440409169013343,25.680059998935718,,,
city,no_pmv_ordinal,broad_tail,0.1,Houston,400896,6013440,93353.92616299257,1498105,117045,104789,166891,204680,87635,49847,29.19585129310345,26.13869931353768,41.629499920178795,51.05563537675607,21.859784083652617,12.433898068326947,23.286320183537022,24.912612414857385,,,
city,no_pmv_ordinal,broad_tail,0.1,Kolkata,400896,6013440,130853.13136592542,2012626,174188,153880,222442,256935,82747,48257,43.449672733077904,38.38401979565773,55.486210887611755,64.0901879789272,20.640515245849297,12.037286478288634,32.64016886322773,33.46879656236696,,,
city,no_pmv_ordinal,broad_tail,0.1,Phoenix,400896,6013440,139108.02958939743,2348149,232411,199634,303909,345276,112865,72026,57.972890724776505,49.796954821200515,75.80744133141762,86.12607758620689,28.153186861430395,17.966255587484035,34.69928100789168,39.048348366326096,,,
city,no_pmv_ordinal,broad_tail,0.11,Ahmedabad,400896,6013440,125084.21263741446,2047459,187545,159437,241665,295155,107610,54136,46.78145953065134,39.77016483077905,60.281220067049816,73.62383261494253,26.84237308429119,13.50375159642401,31.2011625552299,34.04804903682418,,,
city,no_pmv_ordinal,broad_tail,0.11,Beijing,400896,6013440,82116.06234808387,1049643,54412,67336,153261,216945,162533,98849,13.572597381864624,16.79637611749681,38.22961566091954,54.115032327586206,40.54243494572158,24.657018279054917,20.48313336827603,17.454950909961685,,,
city,no_pmv_ordinal,broad_tail,0.11,Guangzhou,400896,6013440,93949.81215288858,1475900,111799,99180,157249,197537,85738,45450,27.88728248722861,24.739583333333336,39.22438737228608,49.27387651660281,21.3865940293742,11.337104885057471,23.434958730665457,24.543356215410814,,,
city,no_pmv_ordinal,broad_tail,0.11,Houston,400896,6013440,88798.48415455852,1416154,105761,93740,145877,182622,76861,40116,26.3811562100894,23.382622924648786,36.38774145913155,45.553460249042146,19.172304038952745,10.006585249042145,22.150005027378302,23.549815080885484,,,
city,no_pmv_ordinal,broad_tail,0.11,Kolkata,400896,6013440,129070.69509392456,1981213,154330,136997,209275,250851,96521,54945,38.496268358876115,34.1727031449553,52.20181792784163,62.572587404214566,24.076319045338444,13.705549568965516,32.19555572864897,32.94641669327373,,,
city,no_pmv_ordinal,broad_tail,0.11,Phoenix,400896,6013440,119309.24676096253,2067815,182723,146443,270671,317298,134575,88003,45.578653815453386,36.528925207535124,67.51651301085569,79.14721024904215,33.56855643358876,21.9515784642401,29.760647839081088,34.3865574446573,,,
city,no_pmv_ordinal,broad_tail,0.12,Ahmedabad,400896,6013440,107353.59429487835,1769216,170244,136460,225540,269591,99347,55299,42.465876436781606,34.03875319284802,56.25897988505747,67.24711645913155,24.781240022349937,13.793851772030653,26.77841492428918,29.421030225627927,,,
city,no_pmv_ordinal,broad_tail,0.12,Beijing,400896,6013440,65469.22874478893,832261,41904,46094,121510,186771,144867,79607,10.452586206896552,11.497745051085568,30.30960648148148,46.58839200191571,36.13580579501915,19.857269715836527,16.33072635915273,13.840015032992763,,,
city,no_pmv_ordinal,broad_tail,0.12,Guangzhou,400896,6013440,75768.79135681296,1208366,99648,89514,138519,170568,70920,38871,24.856321839080458,22.328484195402297,34.55235272988506,42.54669540229885,17.69037356321839,9.696030890804598,18.89986214799174,20.094421828437632,,,
city,no_pmv_ordinal,broad_tail,0.12,Houston,400896,6013440,71811.23316854636,1164348,96151,85576,127071,152724,56573,30922,23.984025782247762,21.346184546615582,31.696749281609193,38.09566570881226,14.111639926564495,7.7132223818646235,17.912683880244842,19.36242816091954,,,
city,no_pmv_ordinal,broad_tail,0.12,Kolkata,400896,6013440,111309.75973015881,1714877,138612,125888,190581,223853,85241,51969,34.57555076628353,31.401660280970628,47.538763170498086,55.8381724936143,21.26262172733078,12.963212404214557,27.765245781988053,28.51740434759472,,,
city,no_pmv_ordinal,broad_tail,0.12,Phoenix,400896,6013440,91160.24682519132,1640776,149083,114103,238691,279934,130851,89636,37.18745011174968,28.46199513090677,59.539381784802046,69.82708732439336,32.63963721264368,22.358916028097063,22.73912606391466,27.285147935291615,,,
city,no_pmv_ordinal,broad_tail,0.13,Ahmedabad,400896,6013440,106389.40669464633,1756712,154026,116509,218616,267086,113060,64590,38.42043821839081,29.062150782247762,54.531848659003835,66.6222661238825,28.2018279054917,16.111410440613028,26.53790676251355,29.213095998297145,,,
