city,scenario_raw,time_slice,severity,weather_year,weather,occupied_records,mean_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_high_tail_pct,area_weighted_zone_time_high_tail_pct,area_weighted_mean_p_tail,mean_zone_mean_p_tail,any_zone_mean_p_tail_max,zone_time_high_tail_pct_unweighted
Houston,ssp245,mid_2050s,hot,2056,houston_ssp245_mid_2050s_hot_2056,16704,5.974616858237548,26.394875478927204,20.420258620689655,5.898666329638585,0.08969664238379418,0.09409103723407533,0.15393688204004163,7.427761813537676
Houston,ssp245,mid_2050s,heatwave_extreme,2058,houston_ssp245_mid_2050s_heatwave_extreme_2058,16704,12.679597701149426,24.44324712643678,11.763649425287356,11.20271646830147,0.0998721423230852,0.10257876052019886,0.15118075186367716,12.337962962962964
Houston,ssp245,late_2080s,typical,2086,houston_ssp245_late_2080s_typical_2086,16704,8.97389846743295,24.580938697318008,15.607040229885058,7.990609413758628,0.09374299199849392,0.09739014491645903,0.1505686264019757,9.342273307790549
Houston,ssp245,late_2080s,hot,2085,houston_ssp245_late_2080s_hot_2085,16704,14.493534482758621,32.42337164750958,17.929837164750957,13.007821948466258,0.10590076421338397,0.11001420016173492,0.17260898253627585,14.684307151979567
Houston,ssp245,late_2080s,heatwave_extreme,2081,houston_ssp245_late_2080s_heatwave_extreme_2081,16704,17.828065134099617,31.441570881226056,13.613505747126437,16.27896736278071,0.11282726560499116,0.11576699526119207,0.1707413002750183,17.636494252873565
Houston,ssp585,baseline_2020s,typical,2025,houston_ssp585_baseline_2020s_typical_2025,16704,11.38050766283525,26.694204980842912,15.313697318007662,9.601916430059505,0.09820355779770094,0.10187654248733166,0.15370859390166103,11.435185185185185
Houston,ssp585,baseline_2020s,hot,2026,houston_ssp585_baseline_2020s_hot_2026,16704,8.381226053639846,25.059865900383144,16.678639846743295,7.230871270073197,0.09257156081525302,0.096431431814508,0.1516566626557913,8.78073116219668
Houston,ssp585,baseline_2020s,heatwave_extreme,2025,houston_ssp585_baseline_2020s_heatwave_extreme_2025,16704,11.38050766283525,26.694204980842912,15.313697318007662,9.601916430059505,0.09820355779770094,0.10187654248733166,0.15370859390166103,11.435185185185185
Houston,ssp585,near_2030s,typical,2038,houston_ssp585_near_2030s_typical_2038,16704,8.914032567049809,24.880268199233715,15.966235632183908,7.165885264057698,0.09252045675816395,0.09637998633620089,0.15033378603550862,8.84698275862069
Houston,ssp585,near_2030s,hot,2035,houston_ssp585_near_2030s_hot_2035,16704,8.153735632183908,26.053639846743295,17.89990421455939,7.141772158136092,0.09198349958598837,0.0962460771383003,0.1533586269541944,8.709690293742018
Houston,ssp585,near_2030s,heatwave_extreme,2037,houston_ssp585_near_2030s_heatwave_extreme_2037,16704,10.727969348659004,28.46024904214559,17.732279693486593,9.727759402555119,0.0979460581601112,0.10190897992407795,0.15929333557407402,11.375319284802043
Houston,ssp585,mid_2050s,typical,2055,houston_ssp585_mid_2050s_typical_2055,16704,13.679358237547893,30.57950191570881,16.90014367816092,11.529560235609047,0.10417221237202444,0.10841005133753348,0.16737544355564324,13.549249680715198
Houston,ssp585,mid_2050s,hot,2058,houston_ssp585_mid_2050s_hot_2058,16704,14.70905172413793,31.83668582375479,17.12763409961686,12.96217287616421,0.10608462757232559,0.11002574342186945,0.17164932404871297,14.570162835249043
Houston,ssp585,mid_2050s,heatwave_extreme,2059,houston_ssp585_mid_2050s_heatwave_extreme_2059,16704,14.774904214559387,28.597940613026818,13.823036398467433,13.06137801690618,0.10636538526706067,0.1098488293002195,0.16524807410598458,14.51787994891443
Houston,ssp585,late_2080s,typical,2088,houston_ssp585_late_2080s_typical_2088,16704,23.293821839080458,38.85895593869732,15.56513409961686,22.54408165246678,0.13175260838542616,0.13387079080121644,0.19542539485945445,23.555236270753515
Houston,ssp585,late_2080s,hot,2080,houston_ssp585_late_2080s_hot_2080,16704,22.03065134099617,36.206896551724135,14.17624521072797,21.40989906958548,0.1258110273675297,0.12808978415195202,0.1883747865915922,22.108477011494255
Houston,ssp585,late_2080s,heatwave_extreme,2086,houston_ssp585_late_2080s_heatwave_extreme_2086,16704,25.87404214559387,39.83477011494253,13.96072796934866,24.530668122515234,0.13491932624236477,0.13720290573415228,0.20080026429745224,25.36198914431673
Kolkata,ssp245,baseline_2020s,typical,2026,kolkata_ssp245_baseline_2020s_typical_2026,16704,12.72749042145594,39.96647509578544,27.2389846743295,14.01222153069771,0.1076696191717515,0.11046108416623983,0.18454132949993812,15.116139846743296
Kolkata,ssp245,baseline_2020s,hot,2028,kolkata_ssp245_baseline_2020s_hot_2028,16704,13.679358237547893,45.09698275862069,31.417624521072796,14.996759681645022,0.11155634720615762,0.11520884203915553,0.1999456830289187,16.55771072796935
Kolkata,ssp245,baseline_2020s,heatwave_extreme,2027,kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,16704,15.086206896551724,43.21120689655172,28.125,15.623610255669393,0.11764083074589314,0.12124561152501726,0.2022176784360483,17.084530651340994
Kolkata,ssp245,near_2030s,typical,2036,kolkata_ssp245_near_2030s_typical_2036,16704,9.123563218390805,34.69228927203065,25.568726053639846,10.054615378099392,0.09763210692315623,0.10072067089625003,0.16946537204007334,11.125478927203066
