group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,ordinal,broad_tail,0.1,2405376,36080640,653245.1193952862,10038031,849210,782724,1209035,1447519,598309,359975,35.304667544699875,32.5406090357599,50.26386727064709,60.178491844934015,24.873824300234144,14.965435757237122,27.15771336353594,27.821100180041153
global,ordinal,broad_tail,0.11,2405376,36080640,590177.6076223511,9233226,739695,645109,1116575,1398722,659027,376906,30.75174109993614,26.81946606268625,46.41997758354619,58.14982771924223,27.39808661930609,15.669317395700297,24.535773518250416,25.590527219029376
global,ordinal,broad_tail,0.12,2405376,36080640,532070.1678779816,8448342,650343,550968,1016848,1303519,653176,366513,27.037061981162196,22.905691251596423,42.27397296722009,54.19190180661984,27.154839825457643,15.237243574393359,22.12004143543386,23.415166693273733
global,ordinal,broad_tail,0.13,2405376,36080640,448665.860416805,7195613,574833,484680,926264,1151616,576783,351450,23.8978438298212,20.14986430395913,38.50807524478502,47.87675606641124,23.978912236590038,14.611021312260537,18.65262896182572,19.943141252483326
global,ordinal,broad_tail,0.14,2405376,36080640,442553.9001282567,7099220,515476,440662,894279,1129241,613765,378806,21.43016310131971,18.3198801351639,37.178345506066414,46.94654806566624,25.51638496434653,15.748307125372499,18.39853312447853,19.67598135731517
global,ordinal,broad_tail,0.15,2405376,36080640,425540.29698987753,6907251,467177,407659,865554,1074090,606913,398377,19.42220259951043,16.947828530757768,35.984145514048535,44.653725654533844,25.231523055023413,16.561942914538104,17.691217380978173,19.143925939229458
global,ordinal,broad_tail,0.16,2405376,36080640,416914.7898735295,6754560,427344,380524,839210,1036868,609524,411866,17.766203703703702,15.81973047041294,34.8889321253725,43.1062752767135,25.340071573009794,17.122728421668796,17.332624499185552,18.720732226479353
global,ordinal,broad_tail,0.17,2405376,36080640,415675.5590995126,6739501,393230,356233,803030,1034538,641308,409800,16.347963894210302,14.809867563324818,33.38480137824606,43.009408924010216,26.661445029799914,17.03683748403576,17.281105286637622,18.678995161948347
global,ordinal,broad_tail,0.18,2405376,36080640,406143.1693632721,6618966,364046,333618,773551,1006333,642287,409506,15.134681646445298,13.869681912515963,32.159254935610896,41.83682717379736,26.702145527352066,17.024614862707534,16.884810082218834,18.34492403682418
global,ordinal,broad_tail,0.19,2405376,36080640,332004.3579610571,5600851,338980,312197,711882,927806,588826,372902,14.092599244359302,12.979135070774797,29.595456178160916,38.572181646445294,24.479582402085995,15.502856933801617,13.802597097545544,15.523147593834254
global,ordinal,broad_tail,0.2,2405376,36080640,309636.7032028086,5254167,316242,291773,669417,881406,565164,353175,13.14730004789272,12.13003705034057,27.83003571998723,36.64316930076628,23.495869252873565,14.682735672094507,12.87269446451651,14.56228880640698
global,ordinal,broad_tail,0.21,2405376,36080640,269516.3506148902,4623072,294923,271505,637299,811934,517011,342376,12.260993707428693,11.28742450244785,26.49477670019157,33.75497219561516,21.493978488186464,14.233782992762878,11.204749303846476,12.813165176670923
global,ordinal,broad_tail,0.22,2405376,36080640,269502.08236137126,4622819,274939,252581,630903,811904,536965,355964,11.43018804544487,10.50068679491273,26.228872325989784,33.753724989357174,22.323536943912302,14.798684280544913,11.204156122010499,12.81246396959699
global,ordinal,broad_tail,0.23,2405376,36080640,269471.98814778234,4622116,255259,234151,623854,811753,556494,368595,10.6120207402086,9.734486417092379,25.935820428905913,33.74744738452533,23.13542664431673,15.323799688697317,11.202904998959927,12.810515556265079
global,ordinal,broad_tail,0.24,2405376,36080640,269463.3498300949,4621919,236428,216130,578754,811629,575201,342326,9.829149372073223,8.98528961792252,24.060853687739463,33.742292265325666,23.91314289325245,14.23170431566624,11.20254587349732,12.809969557081027
global,ordinal,broad_tail,0.25,2405376,36080640,268141.92197005724,4601376,218168,197814,569331,807854,589686,351163,9.070016496381438,8.223828623882504,23.66910620210728,33.58535214452959,24.51533564814815,14.59908970572584,11.147609436946958,12.753033205619413
global,ordinal,broad_tail,0.26,2405376,36080640,213501.6171844109,3727156,199724,179294,516775,712840,513116,317051,8.303234088974031,7.453886627288207,21.484167132290334,29.63528363133248,21.33204954235845,13.180933043316303,8.87601843472334,10.330071750390237
global,ordinal,broad_tail,0.27,2405376,36080640,204526.92712040283,3585017,181636,160428,498239,685550,503914,316603,7.551251862494679,6.669560185185184,20.713559959025115,28.500741671988077,20.9494898094934,13.16230809653044,8.50290878101398,9.93612363860508
global,ordinal,broad_tail,0.28,2405376,36080640,186257.07074198307,3305412,163512,141377,468084,650791,487279,304572,6.797772988505748,5.8775426378246065,19.459909802043423,27.055686927948063,20.257913939442314,12.662136813537675,7.743366140760657,9.161178959131545
global,ordinal,broad_tail,0.29,2405376,36080640,179146.71714647568,3169025,145788,123614,442513,634218,488430,296725,6.060923531289911,5.139071812473393,18.396832761281395,26.36668861749681,20.305765086206897,12.335909229991486,7.447763557401241,8.783172914892862
global,ordinal,broad_tail,0.3,2405376,36080640,146249.24156043827,2614652,127578,107633,409338,573248,445670,281766,5.303869332694764,4.474685038846317,17.017630507662833,23.831949765857814,18.528080433163048,11.714010616219667,6.080098976643912,7.24668963743437
global,ordinal,broad_tail,0.31,2405376,36080640,135254.2414078949,2413542,109583,93156,371142,540678,431095,261569,4.555753445615155,3.8728248722860794,15.4296875,22.477899505108557,17.9221460594934,10.874349789804171,5.622997876751698,6.68929930289485
global,ordinal,broad_tail,0.32,2405376,36080640,92271.87819011323,1753609,91562,78864,334335,446173,354611,242775,3.8065566464452956,3.278655810983397,13.899490142081735,18.548991924755214,14.742435278309918,10.093016642720306,3.8360687971491036,4.860249153008373
