group_scope,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
global,broad_tail,0.39,any_zone,2405376,249422,453343,240132,462633,9290,213211,222501,10.369355975947212,18.847074220412942,8.47771824446573,9.25015465357599,0.519055060923021
global,broad_tail,0.39,area_weighted_mean,2405376,10349,76717,10327,76739,22,66390,66412,0.4302445854618987,3.1893974164538106,2.7591528309919116,2.760982066836952,0.13457303326861178
global,broad_tail,0.39,equal_zone_mean,2405376,17021,81397,16958,81460,63,64439,64502,0.7076232572371222,3.383961592699021,2.6763383354618986,2.681576601745424,0.20817579179965628
global,broad_tail,0.39,zone_p90,2405376,143461,324594,136535,331520,6926,188059,194985,5.964181899212431,13.494522270114942,7.530340370902512,8.106217073754788,0.4118454391891892
global,broad_tail,0.4,any_zone,2405376,241883,401079,230151,412811,11732,170928,182660,10.055933043316305,16.674274624840358,6.618341581524052,7.593823169433802,0.5575214807744948
global,broad_tail,0.4,area_weighted_mean,2405376,7840,64937,7833,64944,7,57104,57111,0.3259365687526607,2.6996610924861644,2.373724523733504,2.374306553320562,0.12061160384331115
global,broad_tail,0.4,equal_zone_mean,2405376,13815,67050,13731,67134,84,53319,53403,0.5743384818007663,2.7875059865900385,2.213167504789272,2.220151859833972,0.2045312360353919
global,broad_tail,0.4,zone_p90,2405376,136980,277352,128876,285456,8104,148476,156580,5.69474377394636,11.530505002128566,5.835761228182205,6.509585195828012,0.45147413261588476
global,outermost,0.025,any_zone,2405376,1667695,1821999,1629323,1860371,38372,192676,231048,69.3319880135164,75.74695182790549,6.414963814389102,9.605483716475096,0.875805417306548
global,outermost,0.025,area_weighted_mean,2405376,699806,888032,686781,901057,13025,201251,214276,29.093414085781184,36.918635589612606,7.8252215038314175,8.908212271179226,0.7621948444992936
global,outermost,0.025,equal_zone_mean,2405376,801081,1009591,789859,1020813,11222,219732,230954,33.30377454501915,41.97227377341422,8.668499228395062,9.601575803533418,0.7737548405045782
global,outermost,0.025,zone_p90,2405376,1342748,1485147,1326479,1501416,16269,158668,174937,55.82279028309919,61.74282108077905,5.920030797679863,7.272750705087271,0.8834853231882436
global,outermost,0.05,any_zone,2405376,729739,782815,693523,819031,36216,89292,125508,30.337834916453808,32.54439222807577,2.2065573116219666,5.2178121008939975,0.8467603790332723
global,outermost,0.05,area_weighted_mean,2405376,174848,303948,173870,304926,978,130078,131056,7.269050659855257,12.636194923371647,5.36714426351639,5.448462111536824,0.5702039183277254
global,outermost,0.05,equal_zone_mean,2405376,264274,386613,256231,394656,8043,130382,138425,10.986806220732227,16.072871767241377,5.086065546509152,5.754817542039166,0.6492515000405417
global,outermost,0.05,zone_p90,2405376,568416,634080,546498,655998,21918,87582,109500,23.631066411238823,26.36095146871009,2.7298850574712645,4.552302841634738,0.8330787593864616
global,outermost,0.075,any_zone,2405376,574255,694710,551347,717618,22908,143363,166271,23.873814322584078,28.881555316091955,5.007740993507875,6.91247439069817,0.768301519750062
global,outermost,0.075,area_weighted_mean,2405376,67221,152446,66507,153160,714,85939,86653,2.794615062260536,6.3377201734780755,3.5431051112175393,3.6024721290974884,0.43423217550274223
