scope,case_label,eps,direction_threshold,tail_threshold,rows,modest_mu_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,high_tail_rows,high_tail_ambiguous_direction_pct_of_all,high_tail_ambiguous_direction_pct_of_high_tail,warm_directional_tail_pct,cold_directional_tail_pct,mean_abs_d_tail,p95_abs_d_tail
weather_case,phoenix ssp585 cmip direct 2050,0.15,0.1,0.2,16704,0.0,0.0,3206,2488,0.0,0.0,19.19300766283525,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.25,0.04,0.2,16704,9.746168582375478,0.0,4708,2488,0.0,0.0,37.91307471264368,0.017959770114942528,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.25,0.06,0.2,16704,1.7959770114942528,0.0,4409,2488,0.0,0.0,28.19085249042146,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.25,0.08,0.2,16704,0.05986590038314176,0.0,3698,2488,0.0,0.0,22.198275862068968,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.25,0.1,0.2,16704,0.0,0.0,3206,2488,0.0,0.0,19.19300766283525,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.35,0.04,0.2,16704,17.941810344827587,0.0,3339,2488,0.0,0.0,37.91307471264368,0.017959770114942528,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.35,0.06,0.2,16704,8.201628352490422,0.0,3339,2488,0.0,0.0,28.19085249042146,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.35,0.08,0.2,16704,2.376676245210728,0.0,3311,2488,0.0,0.0,22.198275862068968,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.35,0.1,0.2,16704,0.34123563218390807,0.0,3149,2488,0.0,0.0,19.19300766283525,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2075,0.15,0.04,0.2,16704,0.9877873563218391,0.0,7074,3062,0.0,0.0,43.33692528735632,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.15,0.06,0.2,16704,0.0,0.0,5405,3062,0.0,0.0,32.35751915708812,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.15,0.08,0.2,16704,0.0,0.0,4364,3062,0.0,0.0,26.125478927203066,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.15,0.1,0.2,16704,0.0,0.0,3822,3062,0.0,0.0,22.88074712643678,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.25,0.04,0.2,16704,10.745929118773946,0.0,5444,3062,0.0,0.0,43.33692528735632,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.25,0.06,0.2,16704,2.029454022988506,0.0,5066,3062,0.0,0.0,32.35751915708812,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.25,0.08,0.2,16704,0.18558429118773948,0.0,4333,3062,0.0,0.0,26.125478927203066,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.25,0.1,0.2,16704,0.0,0.0,3822,3062,0.0,0.0,22.88074712643678,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.35,0.04,0.2,16704,19.07926245210728,0.0,4052,3062,0.0,0.0,43.33692528735632,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.35,0.06,0.2,16704,8.11182950191571,0.0,4050,3062,0.0,0.0,32.35751915708812,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.35,0.08,0.2,16704,2.203065134099617,0.0,3996,3062,0.0,0.0,26.125478927203066,0.0,0.07946095875428043,0.3265188497092074
weather_case,phoenix ssp585 cmip direct 2075,0.35,0.1,0.2,16704,0.20953065134099616,0.0,3787,3062,0.0,0.0,22.88074712643678,0.0,0.07946095875428043,0.3265188497092074
