weather,city,scenario_raw,time_slice,severity,weather_year,month,day,current_time,outdoor_temp_c,mean_operative_temp_c,expected_tsv,p_tail,d_tail,warm_discomfort_probability,cold_discomfort_probability,pair_id,member,pair_tail_gap
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,8,21,6.0,26.07,27.364176655722662,0.8375287563121895,0.2286728247548963,0.19564286120173868,0.2121578429783175,0.0165149817765788,46,low_tail,0.13018827061839067
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,4,9.5,38.285,27.765282240783396,0.8312782204042295,0.358861095373287,0.3131387435789861,0.3359999194761365,0.0228611758971504,46,high_tail,0.13018827061839067
guangzhou_ssp585_near_2030s_typical_2039,Guangzhou,ssp585,near_2030s,typical,2039,11,6,6.0,23.29,25.172318345996352,0.4003318455060851,0.0953389290924023,0.051481967678227804,0.073410448385315,0.0219284807070872,47,low_tail,0.1294972775634512
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,8,9.75,36.6025,26.879369092857637,0.4029886553669363,0.2248362066558535,0.1512784609549282,0.1880573338053908,0.0367788728504626,47,high_tail,0.1294972775634512
houston_ssp245_late_2080s_typical_2086,Houston,ssp245,late_2080s,typical,2086,1,3,11.5,16.9,24.355894854275967,0.1103424221485936,0.0452937887364319,0.0030775855653604987,0.0241856871508962,0.0211081015855357,48,low_tail,0.1291539419729582
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,10,2,12.25,31.515,26.22165960386305,0.1245125647864414,0.1744477307093901,0.046180640590852695,0.1103141856501214,0.0641335450592687,48,high_tail,0.1291539419729582
guangzhou_ssp245_mid_2050s_typical_2054,Guangzhou,ssp245,mid_2050s,typical,2054,11,20,6.0,24.38,25.299085379263303,0.4194406733757097,0.1023453899986299,0.0623327478405942,0.082339068919612,0.0200063210790178,49,low_tail,0.12913865335711022
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,8,10.0,37.11,26.909479212835404,0.4251697417578797,0.2314840433557401,0.15977390987040438,0.1956289766130722,0.0358550667426678,49,high_tail,0.12913865335711022
houston_ssp585_mid_2050s_hot_2058,Houston,ssp585,mid_2050s,hot,2058,10,8,6.0,21.41,26.31612404353332,0.8664071248086868,0.2334111841958701,0.2024108713254256,0.2179110277606478,0.0155001564352222,50,low_tail,0.12809795726258238
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,20,6.5,37.775000000000006,27.76217207212144,0.8618211349732765,0.3615091414584525,0.3244182899147468,0.3429637156865996,0.0185454257718528,50,high_tail,0.12809795726258238
