scope,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,city,scenario_raw,time_slice,severity
severity,801792,48,0.28726949443739286,0.2992750321125953,0.12056667176883706,0.3170618578918856,15.073485392720306,38.64855224297574,0.0,0.000498882503192848,22.736195921136655,0.0,0.0,182293,,,,heatwave_extreme
severity,801792,48,0.2891191496671636,0.2996855134464733,0.12034360928690645,0.3143511812791634,14.792240381545337,37.55375458971903,0.0,0.00062360312899106,22.644650981800766,0.0,0.0,181558,,,,hot
severity,801792,48,0.24698078578558133,0.259059325456799,0.10867656396561452,0.2781087136429512,10.479026979565772,42.06290409482759,0.0,0.000748323754789272,17.653082096104725,0.0,0.0,141535,,,,typical
city_time_slice,100224,6,0.3516819435521874,0.3539250612471487,0.133625318296101,0.3128507096705358,18.322956577266922,28.1389687100894,0.0,0.0,30.261214878671776,0.0,0.0,30329,Ahmedabad,,baseline_2020s,
city_time_slice,100224,6,0.38086729946504877,0.3840320504426909,0.14659727387795815,0.3535326704531598,22.343949553001277,30.052681992337167,0.0,0.0,34.59351053639847,0.0,0.0,34671,Ahmedabad,,late_2080s,
city_time_slice,100224,6,0.3266806433237643,0.3287649133089994,0.12825904308244476,0.3189115738530046,15.632982120051086,32.308628671775224,0.0,0.0,27.02147190293742,0.0,0.0,27082,Ahmedabad,,mid_2050s,
city_time_slice,100224,6,0.2956650654780092,0.29760325273847943,0.11818861359012854,0.2768857092154361,12.128831417624522,33.870130906768836,0.0,0.0,22.564455619412517,0.0,0.0,22615,Ahmedabad,,near_2030s,
city_time_slice,100224,6,0.1305333313984022,0.1655259265266575,0.0862630629197697,0.12816716226203287,2.2359913793103448,51.531569284802046,0.0,0.008979885057471264,4.294380587484035,0.0,0.0,4295,Beijing,,baseline_2020s,
city_time_slice,100224,6,0.23565559894075536,0.25398861672691253,0.1088703772570693,0.317420425923944,10.96344189016603,44.83357279693487,0.0,0.001995530012771392,14.872685185185187,0.0,0.0,14904,Beijing,,late_2080s,
city_time_slice,100224,6,0.18589927038720339,0.21316844285983733,0.09823100450952676,0.2502365932527291,6.604206577266922,47.79693486590038,0.0,0.002993295019157088,10.037515964240102,0.0,0.0,10057,Beijing,,mid_2050s,
city_time_slice,100224,6,0.12831742470357715,0.17006484148256404,0.08725998075025787,0.1331121196131121,2.097302043422733,50.27438537675607,0.0,0.000997765006385696,4.600694444444445,0.0,0.0,4610,Beijing,,near_2030s,
city_time_slice,100224,6,0.19658731308889701,0.20756066958678895,0.0914227813253384,0.221985241150802,6.5034323116219666,53.76157407407407,0.0,0.0,12.173730842911876,0.0,0.0,12201,Guangzhou,,baseline_2020s,
city_time_slice,100224,6,0.37084320442228746,0.3759652224829827,0.13857455597845508,0.3454253979391031,23.786717752234992,35.551364942528735,0.0,0.0,32.43933588761175,0.0,0.0,32512,Guangzhou,,late_2080s,
city_time_slice,100224,6,0.25780798255472326,0.26510975798253794,0.10701406160713599,0.27543093095097043,11.949233716475096,44.51229246487867,0.0,0.0,19.924369412515965,0.0,0.0,19969,Guangzhou,,mid_2050s,
city_time_slice,100224,6,0.21147872854444594,0.22130126820649934,0.09560659112051381,0.23709211249905418,7.818486590038313,52.171136653895275,0.0,0.0,14.75594667943806,0.0,0.0,14789,Guangzhou,,near_2030s,
