case,err,severe_lines,fatal_lines,warmup_convergence_lines,summary_warnings,summary_severe,completed_successfully,summary
beijing_ssp245_late_2080s_heatwave_extreme_2084,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_late_2080s_heatwave_extreme_2084/diagnostic_reference/eplusout.err,0,0,0,20777,0,True,************* EnergyPlus Completed Successfully-- 20777 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.66sec
beijing_ssp245_late_2080s_hot_2084,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_late_2080s_hot_2084/diagnostic_reference/eplusout.err,0,0,0,20777,0,True,************* EnergyPlus Completed Successfully-- 20777 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.52sec
beijing_ssp245_late_2080s_typical_2083,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_late_2080s_typical_2083/diagnostic_reference/eplusout.err,0,0,0,20671,0,True,************* EnergyPlus Completed Successfully-- 20671 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.19sec
beijing_ssp245_mid_2050s_heatwave_extreme_2050,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_mid_2050s_heatwave_extreme_2050/diagnostic_reference/eplusout.err,0,0,0,19951,0,True,************* EnergyPlus Completed Successfully-- 19951 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.78sec
beijing_ssp245_mid_2050s_hot_2050,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_mid_2050s_hot_2050/diagnostic_reference/eplusout.err,0,0,0,19951,0,True,************* EnergyPlus Completed Successfully-- 19951 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.71sec
beijing_ssp245_mid_2050s_typical_2056,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_mid_2050s_typical_2056/diagnostic_reference/eplusout.err,0,0,0,20467,0,True,************* EnergyPlus Completed Successfully-- 20467 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.94sec
beijing_ssp245_near_2030s_heatwave_extreme_2039,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_near_2030s_heatwave_extreme_2039/diagnostic_reference/eplusout.err,0,0,0,20952,0,True,************* EnergyPlus Completed Successfully-- 20952 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.03sec
beijing_ssp245_near_2030s_hot_2034,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_near_2030s_hot_2034/diagnostic_reference/eplusout.err,0,0,0,20570,0,True,************* EnergyPlus Completed Successfully-- 20570 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.29sec
beijing_ssp245_near_2030s_typical_2035,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_near_2030s_typical_2035/diagnostic_reference/eplusout.err,0,0,0,20458,0,True,************* EnergyPlus Completed Successfully-- 20458 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.42sec
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp585_baseline_2020s_heatwave_extreme_2029/diagnostic_reference/eplusout.err,0,0,0,20600,0,True,************* EnergyPlus Completed Successfully-- 20600 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.89sec
beijing_ssp585_baseline_2020s_hot_2029,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp585_baseline_2020s_hot_2029/diagnostic_reference/eplusout.err,0,0,0,20600,0,True,************* EnergyPlus Completed Successfully-- 20600 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.24sec
